"","comments","comments_id","clean_comments","segged_comments"
"7563",": 有保險受益跟遺產順序問題，結婚才能成直系，這是對孩子","eeuueee","有保險受益跟遺產順序問題，結婚才能成直系，這是對孩子","有　保險　受益　跟　遺產　順序　問題　結婚　才能　成　直系　這是　對　孩子"
"7564",": 的保障","eeuueee","的保障","的　保障"
"7565",": 有，我以前小學同學就是 爸媽住在一起但沒有結婚 只是小","Plink086","有，我以前小學同學就是爸媽住在一起但沒有結婚只是小","有　我　以前　小學同學　就是　爸媽　住在一起　但　沒有　結婚　只是　小"
"7566",": 孩會承受某些人的好奇眼光、申請填資料也很不方便 後來","Plink086","孩會承受某些人的好奇眼光、申請填資料也很不方便後來","孩會　承受　某些　人　的　好奇　眼光　申請　填　資料　也　很　不　方便　後來"
"7567",": 高中他爸還是去辦認領了","Plink086","高中他爸還是去辦認領了","高中　他爸　還是　去　辦　認領　了"
"7568",": 事關小孩權益","yuki011","事關小孩權益","事關　小孩　權益"
"7569",": 恩 我是已婚35歲目前沒生以後應該也不會生","carnie","恩我是已婚35歲目前沒生以後應該也不會生","恩　我　是　已婚　35　歲　目前　沒生　以後　應該　也　不會　生"
"7570",": 一堆人沒拖累小孩就不錯了 還養兒防老==","redpapa","一堆人沒拖累小孩就不錯了還養兒防老==","一堆　人　沒　拖累　小孩　就　不錯　了還　養兒防老"
"7571",": 生小孩跟出國不衝突吧？","NOTHINGES","生小孩跟出國不衝突吧？","生小孩　跟　出國　不　衝突　吧"
"7572",": 不敢生，養兒防老是不太可能了啦..","mtiou","不敢生，養兒防老是不太可能了啦","不敢生　養兒防老　是　不太可能　了　啦"
"7573",": 文太長，省略成沒錢就好了，出國、養小孩難兩全","sumarai","文太長，省略成沒錢就好了，出國、養小孩難兩全","文　太長　省略　成　沒　錢　就　好　了　出國　養　小孩　難兩全"
"7574",": 生小孩也可以出國啊  窮的才不行","milk250","生小孩也可以出國啊窮的才不行","生小孩　也　可以　出國　啊　窮　的　才　不行"
"7575",": 尊重你不想要生小孩，但是質疑生小孩的人有比較好嗎","szuchi0912","尊重你不想要生小孩，但是質疑生小孩的人有比較好嗎","尊重　你　不　想要　生小孩　但是　質疑　生小孩　的　人　有　比較　好　嗎"
"7576",": 生小孩跟出國又不是相斥的。","szuchi0912","生小孩跟出國又不是相斥的。","生小孩　跟　出國　又　不是　相斥　的"
"7577",": 會生小孩的(撇除只想爽的8+9)基本上就是真的很愛才會","Sunblacktea","會生小孩的(撇除只想爽的8+9)基本上就是真的很愛才會","會　生小孩　的　撇除　只　想　爽　的　8　9　基本上　就是　真的　很　愛才　會"
"7578",": 想生 我有個同姐姐就是很想要卻遲遲生不出來 直到最","Sunblacktea","想生我有個同姐姐就是很想要卻遲遲生不出來直到最","想生　我　有　個　同　姐姐　就是　很　想要　卻　遲遲　生不　出來　直到　最"
"7579",": 近終於成功了","Sunblacktea","近終於成功了","近　終於　成功　了"
"7580",": *同事","Sunblacktea","*同事","同事"
"7581",": 反而覺得很多生孩子的感覺是為了解鎖人生階段...","myboss","反而覺得很多生孩子的感覺是為了解鎖人生階段","反而　覺得　很多　生　孩子　的　感覺　是　為　了解　鎖　人生　階段"
"7582",": 想生的不用去質疑不想生的，反過來亦同，各自過好不是","mamajustgo","想生的不用去質疑不想生的，反過來亦同，各自過好不是","想生　的　不用　去　質疑　不想生　的　反過來　亦　同　各自　過好　不是"
"7583",": 很好嗎~","mamajustgo","很好嗎~","很　好　嗎"
"7584",": 各過各的+1，沒什麼好討論。","century1211","各過各的+1，沒什麼好討論。","各過　各　的　1　沒什麼　好　討論"
"7585",": 結婚就互相有伴且受法律保障啊，問不生小孩結婚幹嘛的那","kayliu","結婚就互相有伴且受法律保障啊，問不生小孩結婚幹嘛的那","結婚　就　互相　有　伴且　受　法律　保障　啊　問　不生　小孩　結婚　幹嘛　的　那"
"7586",": 些人，也太失禮，小孩又不是他在養，講那什麼幹話。","kayliu","些人，也太失禮，小孩又不是他在養，講那什麼幹話。","些　人　也　太　失禮　小孩　又　不是　他　在　養　講那　什麼　幹話"
"7587",": 我說如果 沒要詛咒 你的另一半 早你15-20年往生","cloud741019","我說如果沒要詛咒你的另一半早你15-20年往生","我　說　如果　沒要　詛咒　你　的　另一半　早　你　15-20　年　往生"
"7588",": 那這些年 你會怎麼過 如果沒病 也沒人陪你 或 帶你去","cloud741019","那這些年你會怎麼過如果沒病也沒人陪你或帶你去","那　這些　年　你　會　怎麼　過　如果　沒病　也　沒人　陪　你　或　帶你去"
