"word","n"
"天才",3
"天神",3
"聽見",3
"同儕",3
"退貨",3
"退休",3
"外勞",3
"外面",3
"晚輩",3
"晚上",3
"萬元",3
"我弟",3
"無聊",3
"無虞",3
"五百萬",3
"五年",3
"吸毒",3
"洗澡",3
"下面",3
"限度",3
"相親",3
"向",3
"消失",3
"小家庭",3
"小魯",3
"小學",3
"謝謝",3
"心情",3
"新",3
"性格",3
"熊",3
"休息",3
"休閒",3
"許可",3
"學歷",3
"壓縮",3
"研究所",3
"顏面",3
"嚴重",3
"養不起",3
"養兒",3
"養育",3
"樣子",3
"腰",3
"要是",3
"夜班",3
"一部",3
"一部分",3
"一件",3
"一人",3
"一天到晚",3
"一條",3
"衣櫃",3
"醫啊",3
"醫療",3
"已",3
"以來",3
"意見",3
"意義",3
"因此",3
"應付",3
"贏家",3
"優越感",3
"有夠",3
"幼稚",3
"幼稚園",3
"於",3
"與其",3
"欲望",3
"願望",3
"孕期",3
"災難",3
"怎麼樣",3
"增產報國",3
"這類",3
"這篇",3
"這也",3
"珍貴",3
"真是",3
"真正",3
"正",3
"正在",3
"之間",3
"之外",3
"支持",3
"執行",3
"只想",3
"制服",3
"治",3
"製造",3
"中時",3
"重點",3
"重複",3
"周遭",3
"主管",3
"煮飯",3
"狀態",3
"自費",3
"自然產",3
"總有一天",3
"租屋",3
"組成",3
"尊重",3
"昨天",3
"左右",3
"做好",3
"adam",3
"b",3
"d",3
"gg",3
"h",3
"i",3
"p",3
"ptt",3
"tsmc",3
"100",2
"200",2
"25",2
"28",2
"33",2
"34",2
"450",2
"50",2
"89",2
"阿嬤",2
"阿姨",2
"啊啊啊",2
"愛人",2
"愛我",2
"安心",2
"案子",2
"八卦",2
"百倍",2
"百萬",2
"擺脫",2
"般",2
"版上",2
"半",2
"伴",2
"伴隨",2
"幫人",2
"包括",2
"包買",2
"包容",2
"保全",2
"保險",2
"保險費",2
"寶貝",2
"報告",2
"杯子",2
"備註",2
"本書",2
"本質",2
"比起",2
"比賽",2
"避免",2
"便宜",2
"變低",2
"變多",2
"變少",2
"表達",2
"並非",2
"並且",2
"病房",2
"補救",2
"補習",2
"不必",2
"不變",2
"不吃",2
"不出",2
"不甘",2
"不合",2
"不見得",2
"不交",2
"不解",2
"不可",2
"不肯",2
"不論",2
"不起",2
"不爽",2
"不算什麼",2
"不肖",2
"不幸",2
"不願",2
"布",2
"才藝",2
"殘障",2
"草皮",2
"差點",2
"產假",2
"超越",2
"嘲笑",2
"吵",2
"吵鬧",2
"徹底",2
"成績",2
"成就感",2
"成年",2
"成人",2
"承認",2
"吃喝玩樂",2
"衝康",2
"仇孩",2
"傳",2
"傳承",2
"傳媒",2
"傳染",2
"床上",2
"純粹",2
"戳",2
"慈善",2
"辭職",2
"聰明",2
"從來沒",2
"從沒",2
"從中",2
"錯",2
"錯過",2
"打扮",2
"打機",2
"打擊",2
"打死",2
"大陸",2
"大學畢業",2
"大於",2
"代表",2
"代價",2
"帶好",2
"帶著",2
"耽誤",2
"耽誤到",2
"單身生活",2
"但會",2
"當兵",2
"當了",2
"當下",2
"檔",2
"導向",2
"到處",2
"道德觀",2
"道理",2
"地板",2
"地段",2
"地位",2
"地獄",2
"的稅",2
"低成本",2
"低等",2
"迪士尼",2
"底層",2
"第",2
"第一名",2
"電子",2
"刁難",2
"掉下來",2
"頂",2
"頂端",2
"頂多",2
"定樂",2
"定義",2
"洞口",2
"凍卵",2
"都還沒",2
"毒",2
"獨生女",2
"讀",2
"賭",2
"度",2
"度過",2
"短命",2
"斷掉",2
"頓時",2
"多多指教",2
"多分",2
"多夫",2
"多年",2
"多秋",2
"多數",2
"多元",2
"而生",2
"二百多萬",2
"發達",2
"發燒",2
"法律",2
"翻身",2
"煩死",2
"繁殖",2
"方向",2
"房租",2
"訪問",2
"非洲",2
"肥胖",2
"廢物",2
"分",2
"分擔",2
"份給",2
"風景",2
"瘋狂",2
"奉勸",2
"扶持",2
"扶養",2
"服飾",2
"父親",2
"附近",2
"復興",2
"該給",2
"改會",2
"感",2
"感動",2
"感冒",2
"剛",2
"高等",2
"高帥",2
"高文音",2
"隔",2
"給的",2
"給你",2
"給人",2
"給原",2
"根本就是",2
"公務員",2
"公園",2
"功德",2
"功課",2
"恭喜",2
"貢獻",2
"溝通",2
"狗屎",2
"夠用",2
"孤兒",2
"鼓起勇氣",2
"固定",2
"故事",2
"乖",2
"乖乖",2
"怪獸",2
"光光",2
"國高",2
"國家",2
"國中生",2
"過多",2
"過很久",2
"過來",2
"過剩",2
"還多",2
"還敢生",2
"還跟",2
"還過",2
"害人",2
"韓國",2
"喊",2
"好不容易",2
"好幾年",2
"好笑",2
"何時",2
"何要",2
"很多年",2
"很爛",2
"很想",2
"很小",2
"後續",2
"後援",2
"花到",2
"畫板",2
"畫筆",2
"畫在",2
"懷念",2
"壞",2
"灰姑娘",2
"回到",2
"回應",2
"會變",2
"會生",2
"會問",2
"會想生",2
"會長",2
"婚前",2
"混過去",2
"活得",2
"活該",2
"獲得",2
"基於",2
"雞",2
"吉拿棒",2
"疾病",2
"幾對",2
"擠出",2
"既有",2
"計算",2
"寂寞",2
"悸動",2
"繼承",2
"加班",2
"家教",2
"家境",2
"家養",2
"堅定",2
"堅決",2
"漸行",2
"漸遠",2
"講好",2
"交",2
"交壞",2
"腳步",2
"腳踝",2
"教師",2
"教授",2
"接受度",2
"結束",2
"竭盡所能",2
"潔癖",2
"姐姐",2
"界",2
"借精",2
"金錢觀",2
"近期",2
"進",2
"經過",2
"經營",2
"驚人",2
"竟然",2
"九成",2
"救",2
"就連",2
"就讓",2
"居多",2
"舉凡",2
"舉例",2
"拒絕",2
"捐",2
"絕不",2
"覺悟",2
"均分",2
"開放",2
"開明",2
"看病",2
"靠背",2
"柯文",2
"可能性",2
"可怕",2
"可笑",2
"客戶",2
"懇請",2
"空間",2
"空虛",2
"摳",2
"苦過來",2
"褲子",2
"快點",2
"快活",2
"困惑",2
"困擾",2
"來到",2
"老母",2
"老年人",2
"老三",2
"老實",2
"老天",2
"樂觀",2
"累到",2
"離",2
"離婚",2
"理財",2
"理所當然",2
"理想",2
"立場",2
"連結",2
"聯考",2
"臉書",2
"良好",2
"兩",2
"兩次",2
"零用錢",2
"領",2
"流浪漢",2
"留給",2
"留學",2
"六歲",2
"盧小",2
"路邊",2
"論點",2
"囉",2
"邏輯",2
"媽咪",2
"滿滿的",2
"滿意",2
"忙",2
"沒差",2
"沒得",2
"沒什麼",2
"沒生",2
"沒想過",2
"媒體",2
"每每",2
"每周",2
"美好",2
"美滿",2
"美式",2
"夢想",2
"彌補",2
"面",2
"面臨",2
"滅亡",2
"名字",2
"明白",2
"模樣",2
"魔法",2
"莫名",2
"默默",2
"目標",2
"哪怕",2
"那代",2
"奶",2
"男孩",2
"男女朋友",2
"男朋友",2
"腦殘",2
"內",2
"內建",2
"能量",2
"你還",2
"你問",2
"年紀輕輕",2
"念頭",2
"鳥鳥",2
"尿布",2
"您",2
"寧可",2
"寧願",2
"弄",2
"女板",2
"女明星",2
"女強人",2
"女權",2
"虐",2
"歐美",2
"排版",2
"叛逆",2
"胖",2
"泡",2
"賠",2
"配",2
"配合",2
"配偶",2
"捧",2
"屁",2
"偏偏",2
"漂亮",2
"撇開",2
"評估",2
"頗",2
"婆家",2
"剖腹",2
"七",2
"七年",2
"期望",2
"其他人",2
"奇怪",2
"氣氛",2
"棄養",2
"千",2
"牽制",2
"強大",2
"強調",2
"強硬",2
"瞧不起",2
"親密",2
"親生",2
"親友",2
"清",2
"傾向",2
"請假",2
"慶幸",2
"窮到",2
"窮忙",2
"窮人家",2
"求愛",2
"全部都是",2
"全面",2
"缺陷",2
"群體",2
"讓位",2
"惹",2
"熱潮",2
"人不生",2
"人大",2
"人到",2
"人敢",2
"人活",2
"人間",2
"人力",2
"人脈",2
"人們",2
"人氣",2
"人世",2
"人想生",2
"人要",2
"忍術",2
"忍者",2
"任",2
"認養",2
"仍然",2
"如此",2
"軟體",2
"塞",2
"三餐",2
"三次",2
"三十歲",2
"傻眼",2
"善用",2
"傷害",2
"上進心",2
"上下",2
"上學",2
"少女",2
"奢侈",2
"社畜",2
"社會工作",2
"身",2
"身體力行",2
"深呼吸",2
"神",2
"腎臟",2
"升級",2
"生出",2
"生存",2
"生氣",2
"生要",2
"剩",2
"失敗",2
"失業",2
"十八歲",2
"十幾年",2
"食物",2
"時常",2
"時代",2
"實際",2
"實現",2
"使用",2
"世間",2
"是給",2
"勢必",2
"試管",2
"試管嬰兒",2
"適用",2
"收拾",2
"手牽手",2
"手上",2
"首先",2
"受到",2
"叔叔",2
"舒服",2
"屬於",2
"衰退",2
"水準",2
"睡前",2
"順便",2
"順其自然",2
"瞬間",2
"說出",2
"說到底",2
"說過",2
"說生",2
"說真的",2
"私校",2
"思想",2
"四",2
"四大",2
"四萬",2
"鬆",2
"送給",2
"算不算",2
"隨便",2
"碎",2
"孫子",2
"所得",2
"他給",2
"他會",2
"他家",2
"它",2
"台大",2
"台灣生",2
"台丸",2
"太晚",2
"太兇",2
"談戀愛",2
"談起",2
"坦白說",2
"探望",2
"提出",2
"提過",2
"提早",2
"天分",2
"天生",2
"田",2
"挑",2
"挑戰",2
"停",2
"同",2
"同胞",2
"同個",2
"同一",2
"童星",2
"頭期款",2
"透天",2
"推文",2
"拖累",2
"歪",2
"外表",2
"完美",2
"玩樂",2
"晚",2
"卍",2
"王子",2
"往",2
"往後",2
"往時",2
"唯有",2
"維他命",2
"未知",2
"味覺",2
"為止",2
"胃酸",2
"溫暖",2
"問他",2
"問問",2
"我爸",2
"我超",2
"我該",2
"我姐",2
"無病呻吟",2
"無力",2
"無奈",2
"無色",2
"無限",2
"無限大",2
"五",2
"五十萬",2
"午餐",2
"物價",2
"物慾",2
"物種",2
"膝蓋",2
"習慣",2
"媳婦",2
"喜不喜歡",2
"喜訊",2
"細節",2
"狹隘",2
"下次",2
"閒聊",2
"現代人",2
"現階段",2
"相愛",2
"相關",2
"相同",2
"鄉民",2
"想不到",2
"想問",2
"想想",2
"項目",2
"小康家庭",2
"小朋友",2
"小事",2
